name,for-more-information,limitations,how-its-accessed,how-to-register,result-format,contact-for-technical-questions,what-it-does
Chronicling America API,http://chroniclingamerica.loc.gov/about/api/,,,,,,
Elsevier Scopus APIs,http://dev.elsevier.com/sc_apis.html,,,,,,
Europe PubMed Central,http://europepmc.org/RestfulWebService,,,,,,
HathiTrust Extracted Features Dataset,https://sharc.hathitrust.org/features,,,,,,
Microsoft Academic Search API,http://academic.research.microsoft.com/About/Help.htm#4,,,,,,
Microsoft Academic Search,http://academic.research.microsoft.com/,,,,,,
National Library of Medicine (NLM) APIs,http://www.nlm.nih.gov/api/,,,,,,
NCBI E-utilities API,http://www.ncbi.nlm.nih.gov/books/NBK25500/,,,,,,
ORCID API,http://support.orcid.org/knowledgebase/topics/19247-rest-api,,,,,,
Open Academic Graph,http://www.openacademic.ai/oag/,,,,,,
AMiner,http://aminer.org/,,,,,,
PubMed Central OAI-PMH service,http://www.ncbi.nlm.nih.gov/pmc/tools/oai/,,,,,,
PubMed Citation Files (XML),https://ncbiinsights.ncbi.nlm.nih.gov/2017/06/22/pubmed-available-for-download-without-license/,,,,,,
Web of Sciences Web Services,http://wokinfo.com/products_tools/products/related/webservices/,,,,,,
Worldcat Identities,https://platform.worldcat.org/api-explorer/apis/worldcatidentities,,,,,,
Google Books Ngram Viewer datasets,http://storage.googleapis.com/books/ngrams/books/datasetsv2.html,,,,,,
Adam Matthew API,http://developers.amdigital.co.uk/API/Overview,,,,,,
CommonCrawl,https://commoncrawl.org/,,,,,,
Harvard Library's bibliographic dataset of over 12 million MARC records.,http://openmetadata.lib.harvard.edu/bibdata,,,,,,
HathiTrust Extracted Features Dataset,https://sharc.hathitrust.org/features,,,,,,
NASA open datasets,https://open.nasa.gov/,,,,,,
NCBI E-utilities API,http://www.ncbi.nlm.nih.gov/books/NBK25500/,,,,,,
New York Times APIs,http://developer.nytimes.com/,,,,,,
OpenLibrary APIs,https://openlibrary.org/developers/api,,,,,,
ORCID API,http://support.orcid.org/knowledgebase/topics/19247-rest-api,,,,,,
PubMed Central OAI-PMH service,http://www.ncbi.nlm.nih.gov/pmc/tools/oai/,,,,,,
Web of Sciences Web Services,http://wokinfo.com/products_tools/products/related/webservices/,,,,,,
Worldcat Identities,http://oclc.org/developer/services/worldcat-identities,,,,,,
xISBN,http://oclc.org/developer/services/xisbn,,,,,,
xISSN,http://oclc.org/developer/services/xissn,,,,,,
